Country Name,Latitude,Longitude
Aruba,12.5013629,-69.9618475
Africa Eastern and Southern,-6.8274414,37.6695228
Afghanistan,33.7680065,66.2385139
Africa Western and Central,,
Angola,-11.8775768,17.5691241
Albania,1.2315264,-75.89204331320687
Andorra,42.5407167,1.5732033
Arab World,23.5752013,58.3967978
United Arab Emirates,24.0002488,53.9994829
Argentina,-34.9964963,-64.9672817
Armenia,4.536307,-75.6723751
American Samoa,-14.297124,-170.7131481
Antigua and Barbuda,17.2234721,-61.9554608
Australia,-24.7761086,134.755
Austria,47.59397,14.12456
Azerbaijan,40.3936294,47.7872508
Burundi,-3.426449,29.9324519
Belgium,50.6402809,4.6667145
Benin,9.5293472,2.2584408
Burkina Faso,12.0753083,-1.6880314
Bangladesh,-0.2864982,36.0514231
Bulgaria,42.6073975,25.4856617
Bahrain,26.1551249,50.5344606
"Bahamas, The",37.7399405,-0.9439251
Bosnia and Herzegovina,44.3053476,17.5961467
Belarus,53.4250605,27.6971358
Belize,17.1204943,-88.6859028
Bermuda,32.3040273,-64.7563086
Bolivia,-17.0568696,-64.9912286
Brazil,-10.3333333,-53.2
Barbados,13.1500331,-59.5250305
Brunei Darussalam,4.4137155,114.5653908
Bhutan,27.549511,90.5119273
Botswana,-23.1681782,24.5928742
Central African Republic,7.0323598,19.9981227
Canada,61.0666922,-107.991707
Central Europe and the Baltics,,
Switzerland,46.7985624,8.2319736
Channel Islands,49.21230655,-2.1255999596428845
Chile,-31.7613365,-71.3187697
China,35.000074,104.999927
Cote d'Ivoire,7.9897371,-5.5679458
Cameroon,4.6125522,13.1535811
"Congo, Dem. Rep.",,
"Congo, Rep.",,
Colombia,4.099917,-72.9088133
Comoros,-12.2045176,44.2832964
Cabo Verde,16.0000552,-24.0083947
Costa Rica,10.2735633,-84.0739102
Caribbean small states,,
Cuba,23.0131338,-80.8328748
Curacao,12.1176488,-68.9309263
Cayman Islands,19.703182249999998,-79.9174627243246
Cyprus,34.9174159,32.889902651331866
Czechia,49.7439047,15.3381061
Germany,51.1638175,10.4478313
Djibouti,11.8145966,42.8453061
Dominica,15.4113138,-61.3653618
Denmark,55.670249,10.3333283
Dominican Republic,19.0974031,-70.3028026
Algeria,28.0000272,2.9999825
East Asia & Pacific (excluding high income),,
Early-demographic dividend,,
East Asia & Pacific,1.3242943999999999,103.8733376331324
Europe & Central Asia (excluding high income),,
Europe & Central Asia,46.2286278,6.1346858
Ecuador,-1.3397668,-79.3666965
"Egypt, Arab Rep.",,
Euro area,52.0603991,-0.7471689
Eritrea,15.9500319,37.9999668
Spain,39.3260685,-4.8379791
Estonia,58.7523778,25.3319078
Ethiopia,10.2116702,38.6521203
European Union,42.6795963,23.3214829
Fragile and conflict affected situations,,
Finland,63.2467777,25.9209164
Fiji,-18.1239696,179.0122737
France,46.603354,1.8883335
Faroe Islands,62.0448724,-7.0322972
"Micronesia, Fed. Sts.",,
Gabon,-0.8999695,11.6899699
United Kingdom,54.7023545,-3.2765753
Georgia,32.3293809,-83.1137366
Ghana,8.0300284,-1.0800271
Gibraltar,36.1285933,-5.3474761
Guinea,10.7226226,-10.7083587
"Gambia, The",51.5040457,-0.1028139
Guinea-Bissau,11.815215,-15.2351044
Equatorial Guinea,1.613172,10.5170357
Greece,38.9953683,21.9877132
Grenada,12.1360374,-61.6904045
Greenland,35.9948477,-94.1796014
Guatemala,15.5855545,-90.345759
Guam,13.45011745,144.7577087765826
Guyana,4.8417097,-58.6416891
High income,43.6656307,-79.4730578
"Hong Kong SAR, China",22.350627,114.1849161
Honduras,15.2572432,-86.0755145
Heavily indebted poor countries (HIPC),,
Croatia,45.3658443,15.6575209
Haiti,19.1399952,-72.3570972
Hungary,47.1817585,19.5060937
IBRD only,,
IDA & IBRD total,,
IDA total,30.4181709,-9.5965706
IDA blend,51.0494836,3.7298482
Indonesia,-2.4833826,117.8902853
IDA only,51.0524794,3.7218924
Isle of Man,54.1936805,-4.5591148
India,22.3511148,78.6677428
Not classified,,
Ireland,52.865196,-7.9794599
"Iran, Islamic Rep.",,
Iraq,33.0955793,44.1749775
Iceland,64.9841821,-18.1059013
Israel,30.8124247,34.8594762
Italy,42.6384261,12.674297
Jamaica,18.1850507,-77.3947693
Jordan,10.6611675,122.5909592
Japan,36.5748441,139.2394179
Kazakhstan,48.1012954,66.7780818
Kenya,1.4419683,38.4313975
Kyrgyz Republic,41.5089324,74.724091
Cambodia,12.5433216,104.8144914
Kiribati,0.3448612,173.6641773
St. Kitts and Nevis,17.250512,-62.6725973
"Korea, Rep.",,
Kuwait,29.3796532,47.9734174
Latin America & Caribbean (excluding high income),,
Lao PDR,17.967789,102.6162108
Lebanon,40.375713,-76.4626118
Liberia,5.7499721,-9.3658524
Libya,26.8234472,18.1236723
St. Lucia,13.8250489,-60.975036
Latin America & Caribbean,-33.40181025,-70.60064071703273
Least developed countries: UN classification,,
Low income,30.891848850000002,29.58051905236603
Liechtenstein,47.1416307,9.5531527
Sri Lanka,7.5554942,80.7137847
Lower middle income,,
Low & middle income,,
Lesotho,-29.6039267,28.3350193
Late-demographic dividend,,
Lithuania,55.3500003,23.7499997
Luxembourg,49.6112768,6.129799
Latvia,56.8406494,24.7537645
"Macao SAR, China",22.2926605,113.9324305
St. Martin (French part),18.0814066,-63.0467131
Morocco,28.3347722,-10.371337908392647
Monaco,43.7323492,7.4276832
Moldova,47.2879608,28.5670941
Madagascar,-18.9249604,46.4416422
Maldives,3.7203503,73.2244152
Middle East & North Africa,33.874664800000005,35.566736330340206
Mexico,19.4326296,-99.1331785
Marshall Islands,8.230816999999998,167.7953223704529
Middle income,9.0200172,38.7681541
North Macedonia,41.6171214,21.7168387
Mali,16.3700359,-2.2900239
Malta,35.8885993,14.4476911
